group_key,train_rows,cv_mae,skipped_reason,target
1,72,1637110360.75,,market_revenue
2,72,1075902495.375,,market_revenue
3,72,216484638.39285713,,market_revenue
4,72,989874457.0178572,,market_revenue
5,72,265927887.58928573,,market_revenue
6,72,214428485.92857143,,market_revenue
7,72,0.0,,market_revenue
8,72,230317345.82142857,,market_revenue
9,72,230522777.0,,market_revenue
10,72,212754362.51785713,,market_revenue
11,72,0.0,,market_revenue
13,72,475438101.3928571,,market_revenue
14,72,211865489.14285713,,market_revenue
15,72,4658915006.660715,,market_revenue
16,72,1737838627.517857,,market_revenue
17,72,757335501.5892857,,market_revenue
18,72,228351954.92857143,,market_revenue
19,72,0.0,,market_revenue
21,72,252424786.9285714,,market_revenue
23,72,261806679.0357143,,market_revenue
26,72,245875181.125,,market_revenue
27,72,0.0,,market_revenue
29,72,0.0,,market_revenue
30,72,0.0,,market_revenue
34,72,0.0,,market_revenue
36,72,245063175.69642857,,market_revenue
39,72,260453720.64285716,,market_revenue
40,72,794162845.2678572,,market_revenue
43,72,238053153.98214287,,market_revenue
1,72,527573896.1085996,,revenue_amazon
2,72,93405171.00334665,,revenue_amazon
3,72,27981044.70218432,,revenue_amazon
4,72,97664597.64367989,,revenue_amazon
5,72,39229284.6246816,,revenue_amazon
6,72,29538362.37172199,,revenue_amazon
7,72,9586344.57714745,,revenue_amazon
8,72,28501157.394814122,,revenue_amazon
9,72,24766022.66662065,,revenue_amazon
10,72,23806068.558115765,,revenue_amazon
11,72,13560448.939144336,,revenue_amazon
13,72,73194669.90186091,,revenue_amazon
14,72,92050160.40219387,,revenue_amazon
15,72,308353688.5039933,,revenue_amazon
16,72,175570658.34362406,,revenue_amazon
17,72,129627818.6333282,,revenue_amazon
18,72,38364398.512777075,,revenue_amazon
19,72,13529823.196846878,,revenue_amazon
21,72,31140344.97224295,,revenue_amazon
23,72,43310651.489044026,,revenue_amazon
26,72,41339656.02603417,,revenue_amazon
27,72,28180527.656686865,,revenue_amazon
29,72,17371661.574171413,,revenue_amazon
30,72,13060283.381762074,,revenue_amazon
34,72,15019602.595192911,,revenue_amazon
36,72,71250542.92117272,,revenue_amazon
39,72,85696812.75995402,,revenue_amazon
40,72,109536281.2728289,,revenue_amazon
43,72,65889949.21971789,,revenue_amazon
